slab_index,depth_mm,sum_edep_MeV
295,295.5,11938.9
296,296.5,12063.5
297,297.5,12145
298,298.5,11790.7
299,299.5,12055.3
300,300.5,11669.9
301,301.5,11493.6
302,302.5,11111.7
303,303.5,11172.1
304,304.5,11199.5
305,305.5,11053.9
306,306.5,10760
307,307.5,10767
308,308.5,10561.6
309,309.5,10711.4
310,310.5,10501.2
311,311.5,10434.3
312,312.5,10180.7
313,313.5,10099.9
314,314.5,9863.59
315,315.5,9880.09
316,316.5,9912.74
317,317.5,9802.01
318,318.5,9508.07
319,319.5,9786.46
320,320.5,9603.34
321,321.5,9608.83
322,322.5,9318.5
323,323.5,9419.46
324,324.5,9020.55
325,325.5,8755.93
326,326.5,8908.82
327,327.5,9029.23
328,328.5,8906.69
329,329.5,9015.41
330,330.5,8683.02
331,331.5,8824.66
332,332.5,8942.39
333,333.5,8933.66
334,334.5,8903.53
335,335.5,8568.86
336,336.5,8563.76
337,337.5,8645.87
338,338.5,8608.12
339,339.5,8158.86
340,340.5,8317.37
341,341.5,8253.67
342,342.5,7822.51
343,343.5,7677.86
344,344.5,7831.87
345,345.5,7999.61
346,346.5,8188.77
347,347.5,7779.39
348,348.5,7815.7
349,349.5,7961.19
