energy_eV,n_events,M1,M1_SEM,F2,F3
20,10000,0.4365,0.004959761579299185,0.0,0.0
50,10000,1.7698,0.006348608231939365,0.6855,0.0977
100,10000,3.6347,0.01121062704829135,0.9509,0.8683
300,10000,4.5941,0.0362332140939823,0.7825,0.6466
600,10000,2.5438,0.027406263268213577,0.554,0.3832
1000,10000,1.6687,0.020725274056052186,0.3964,0.237
5000,10000,7.6247,0.08273553957007107,0.9047,0.8048
10000,10000,4.1273,0.05873409946908222,0.674,0.5048
